ID,PLAYER NAME,KILL POINTS,T4 DEADS,T5 DEADS,DEADS,T4 KILLS,T5 KILLS,KILLS,DKP,KILL REQUIREMENTS,POWER LOSS REQUIREMENTS
150759019,F1 Valpo,2767153,,,,6160,10753,16984,,7000000,2000000
65206862,96NekoOFarm 5,2619001,,,,5248,10471,15730,,7000000,2000000
51464368,96Nekoo Farm 8,1657930,,,,5520,5530,11050,,7000000,2000000
163149834,Vương Bắc 9,2036550,,,,531,9918,10448,,7000000,2000000
3766660,ミGióᵛᶰシ,2035290,,,,162,10096,10257,,31500000,13500000
23973452,IsiahFarm 3,1433206,,,,4687,4809,9634,,7000000,2000000
149036613,MikaSa Ackerman,1367027,,,,1232,6219,7464,,7000000,2000000
166321955,Noob Forts,61946,,,,5640,277,5917,,7000000,2000000
175988930,grochulp farm 3,93440,,,,403,4471,4873,,7000000,2000000
100914247,Rōnin Shōtå,68522,,,,2600,3425,3427,,7000000,2000000
145432543,Vương Bắc 5,55207,,,,1237,2142,3379,,7000000,2000000
146068492,cakByek III,44927,,,,2127,1183,3310,,7000000,2000000
156754885,Noob F2,26855,,,,651,1017,1668,,7000000,2000000
78838815,Snowrabbit,5422,,,,226,158,384,,7000000,2000000
79183831,DT BlackRabbit,5900,,,,70200,260,330,,7000000,2000000
106602642,Akarrr 3,5818,,,,0,291,291,,7000000,2000000
13657984,lowkeybunny,5141,,,,1500,256,258,,7000000,2000000
13604257,fattybunny,4395,,,,74900,182,257,,7000000,2000000
145318471,EllFlamenco,4510,,,,0,226,226,,7000000,2000000
67706684,RajaFarmz5,399,,,,19300,10300,29600,,7000000,2000000
100469646,Ròmm19,153,,,,3100,6100,9200,,7000000,2000000
